sector,rank,ret_1m_pct,ret_3m_pct,ret_6m_pct,rp_1m,rp_3m,rp_6m,rp_score,rs_mom_20d,pct_off_6m_high,accel,quadrant,stage2_pts
Nifty Pharma,1,2.66,14.24,13.99,2.47,16.33,20.99,5,3.19,1.7,N,Leading,10
Nifty Realty,2,10.01,10.38,4.31,9.82,12.47,11.31,4,8.35,5.5,Y,Leading,10
Nifty Auto,3,3.87,4.05,-0.73,3.68,6.14,6.27,3,4.97,4.1,Y,Leading,10
Nifty Media,4,-0.98,3.2,5.94,-1.17,5.29,12.94,3,-0.67,2.5,N,Weakening,3
Nifty Consumption,5,2.41,1.99,-1.68,2.22,4.08,5.32,2,3.07,1.9,Y,Leading,10
Nifty Infra,6,-1.91,-0.86,0.23,-2.1,1.23,7.23,2,-1.31,4.7,N,Weakening,0
Nifty Bank,7,-1.03,-0.93,-5.02,-1.22,1.16,1.98,2,-2.06,8.1,N,Weakening,0
Nifty Serv Sector,8,0.92,-2.1,-8.43,0.73,-0.01,-1.43,1,0.23,9.3,Y,Improving,3
Nifty Energy,9,-3.04,-2.13,12.78,-3.23,-0.04,19.78,1,-1.54,6.0,N,Lagging,0
Nifty Fin Service,10,-1.28,-2.38,-5.49,-1.47,-0.29,1.51,1,-2.16,8.7,N,Lagging,0
Nifty Metal,11,-1.57,-3.28,6.93,-1.76,-1.19,13.93,1,-0.55,9.1,N,Lagging,0
Nifty Commodities,12,-1.64,-4.14,1.81,-1.83,-2.05,8.81,1,-0.88,6.7,N,Lagging,0
Nifty FMCG,13,-0.05,-4.23,-6.17,-0.24,-2.14,0.83,1,0.53,6.6,Y,Improving,0
Nifty IT,14,5.63,-6.44,-24.56,5.44,-4.35,-17.56,1,4.17,27.0,Y,Improving,7
Nifty PSE,15,-1.57,-6.58,0.43,-1.76,-4.49,7.43,1,-0.47,7.3,Y,Lagging,0
Nifty PSU Bank,16,-3.41,-8.03,-6.88,-3.6,-5.94,0.12,1,-3.22,16.0,N,Lagging,0
Nifty CPSE,17,-2.05,-9.39,1.52,-2.24,-7.3,8.52,1,-0.38,11.0,Y,Lagging,0
