symbol,score_100,stage5_pts,stage6_pts,stage7_pts,stage8_pts,pattern,stages_covered,score_conf,rvol,deliv_surge,mom_pctile
NAVINFLUOR,73.2,9.0,9.4,7.1,15.0,Trendline/Resistance Breakout,4/9,LOW,4.86,0.6,72.8
RHETAN,73.2,9.0,15.0,2.9,15.0,Double Bottom,4/9,LOW,1.49,1.86,84.5
ASTERDM,73.2,9.0,9.4,7.1,15.0,Trendline/Resistance Breakout,4/9,LOW,2.14,0.91,76.0
TATATECH,73.2,11.0,15.0,0.0,15.0,Trendline/Resistance Breakout,4/9,LOW,15.08,0.54,90.3
GRASIM,65.9,6.0,9.4,7.1,15.0,Trendline/Resistance Breakout,4/9,LOW,2.11,0.79,68.6
LLOYDSENGG,65.9,8.0,15.0,0.0,15.0,Double Bottom,4/9,LOW,5.21,0.66,97.5
TFCILTD,63.4,7.0,15.0,0.0,15.0,Double Bottom,4/9,LOW,1.61,0.96,92.9
GRWRHITECH,61.0,6.0,5.6,10.0,12.3,Trendline/Resistance Breakout,4/9,LOW,3.63,0.82,89.6
JBCHEPHARM,57.9,9.0,0.0,2.9,15.0,Trendline/Resistance Breakout,4/9,LOW,11.79,1.08,
GLAND,56.1,0.0,15.0,10.0,10.9,Trendline/Resistance Breakout,4/9,LOW,0.65,1.13,92.1
KTKBANK,56.1,7.0,9.4,0.0,15.0,Trendline/Resistance Breakout,4/9,LOW,1.97,1.13,71.6
EMCURE,55.8,2.0,9.4,10.0,11.5,Trendline/Resistance Breakout,4/9,MED,0.99,0.99,76.4
ESCORTS,51.2,5.0,0.0,10.0,11.5,Trendline/Resistance Breakout,4/9,MED,0.58,0.99,19.9
REDINGTON,51.2,5.0,15.0,0.0,10.9,Trendline/Resistance Breakout,4/9,LOW,0.51,0.91,96.6
LLOYDSME,48.8,5.0,9.4,2.9,10.9,Double Bottom,4/9,LOW,1.03,1.1,76.2
ASHAPURMIN,48.8,9.0,0.0,7.1,8.2,Double Bottom,4/9,LOW,2.11,1.17,64.9
NAZARA,48.8,3.0,15.0,0.0,11.5,Trendline/Resistance Breakout,4/9,MED,0.73,1.09,85.9
OMAXAUTO,47.4,9.0,,0.0,,,2/9,LOW,1.98,0.98,
BAJAJFINSV,46.5,5.0,0.0,2.9,15.0,Trendline/Resistance Breakout,4/9,MED,1.82,1.02,59.1
FORTIS,46.3,8.0,0.0,2.9,12.3,Trendline/Resistance Breakout,4/9,LOW,3.44,0.76,36.2
BEML,46.3,8.0,0.0,2.9,12.3,Trendline/Resistance Breakout,4/9,LOW,6.61,0.43,22.8
RPTECH,46.3,0.0,15.0,4.3,10.9,Trendline/Resistance Breakout,4/9,LOW,1.01,0.96,98.8
PREMEXPLN,46.3,8.0,0.0,7.1,8.2,Double Bottom,4/9,LOW,2.18,1.63,68.3
SAILIFE,44.4,7.0,15.0,7.1,0.0,,4/9,MED,2.5,0.87,84.0
TATACAP,43.9,7.0,0.0,7.1,8.2,Flat Base,4/9,LOW,2.16,0.92,66.3
JKTYRE,43.9,4.0,0.0,7.1,12.3,Double Bottom,4/9,LOW,3.09,0.59,25.0
PIDILITIND,43.9,3.0,9.4,2.9,10.9,Trendline/Resistance Breakout,4/9,LOW,0.9,0.93,72.0
EXICOM,43.9,4.0,5.6,7.1,8.2,Trendline/Resistance Breakout,4/9,LOW,1.06,1.51,87.5
ENDURANCE,43.9,0.0,15.0,2.9,10.9,Double Bottom,4/9,LOW,0.56,0.98,81.7
NEULANDLAB,42.2,9.0,15.0,2.9,0.0,,4/9,MED,9.15,0.53,87.7
