sector,rank,ret_1m_pct,ret_3m_pct,ret_6m_pct,rp_1m,rp_3m,rp_6m,rp_score,rs_mom_20d,pct_off_6m_high,accel,quadrant,stage2_pts
Nifty MidSmall IT & Telecom,1,6.0,15.63,0.85,4.76,13.76,3.25,4,5.36,1.7,Y,Leading,10
Nifty MidSmall Healthcare,2,3.43,14.81,27.3,2.19,12.94,29.7,4,2.72,0.0,N,Leading,6
Nifty Auto,3,9.86,13.91,11.65,8.62,12.04,14.05,4,7.77,0.0,Y,Leading,10
Nifty Pharma,4,3.09,13.06,21.82,1.85,11.19,24.22,4,2.03,0.0,N,Leading,6
Nifty500 Healthcare,5,2.1,12.68,22.86,0.86,10.81,25.26,4,1.41,0.0,N,Leading,6
Nifty Healthcare,6,1.63,10.86,19.76,0.39,8.99,22.16,3,0.8,0.3,N,Leading,3
Nifty Realty,7,-0.54,9.01,16.66,-1.78,7.14,19.06,3,-2.87,5.6,N,Weakening,0
Nifty IT,8,14.97,8.5,-18.2,13.73,6.63,-15.8,3,15.0,18.5,Y,Leading,7
Nifty Media,9,2.82,7.38,16.73,1.58,5.51,19.13,3,3.21,3.9,Y,Leading,3
Nifty Consumer Durables,10,8.85,7.16,18.07,7.61,5.29,20.47,3,6.65,0.4,Y,Leading,7
Nifty REITs & Realty,11,0.68,6.78,,-0.56,4.91,,2,-0.96,1.8,N,Weakening,0
Nifty Chemicals,12,1.85,6.6,12.17,0.61,4.73,14.57,2,0.62,1.2,N,Leading,3
Nifty Consumption,13,3.41,6.58,6.58,2.17,4.71,8.98,2,2.14,0.0,Y,Leading,3
Nifty Bank,14,-0.33,5.23,-2.46,-1.57,3.36,-0.06,2,-1.5,6.2,N,Weakening,0
Nifty NBFC,15,4.05,,,2.81,,,,2.36,0.0,,Leading,3
Nifty MidSmall Financial Services,16,-0.35,4.6,9.29,-1.59,2.73,11.69,2,-1.15,2.0,N,Weakening,0
Nifty Private Bank,17,-2.92,4.36,-3.15,-4.16,2.49,-0.75,2,-3.92,6.2,N,Weakening,0
Nifty PSU Bank,18,4.5,3.91,-1.67,3.26,2.04,0.73,2,4.82,11.1,Y,Leading,3
Nifty Financial Services Ex Bank,19,0.53,3.82,5.95,-0.71,1.95,8.35,2,0.13,1.2,N,Leading,3
Nifty Consumer Services,20,3.17,,,1.93,,,,1.99,0.0,,Leading,3
Nifty Retail,21,2.66,,,1.42,,,,1.66,0.0,,Leading,3
Nifty Serv Sector,22,0.61,3.28,-5.14,-0.63,1.41,-2.74,2,-0.52,7.3,N,Weakening,0
Nifty Cement,23,0.47,2.71,,-0.77,0.84,,2,0.1,6.9,N,Leading,3
Nifty Fin Service,24,-1.52,2.52,-2.19,-2.76,0.65,0.21,2,-2.52,7.0,N,Weakening,0
Nifty Financial Services 25/50,25,-1.09,2.51,-2.25,-2.33,0.64,0.15,2,-2.33,6.7,N,Weakening,0
Nifty Capital Goods,26,1.64,,,0.4,,,,-0.08,3.3,,Weakening,0
Nifty Metal,27,4.69,1.67,11.5,3.45,-0.2,13.9,1,3.08,3.9,Y,Improving,7
Nifty Infra,28,0.32,0.35,5.79,-0.92,-1.52,8.19,1,-0.74,2.4,Y,Lagging,0
Nifty Hospitals,29,-0.56,,,-1.8,,,,-0.49,0.6,,Lagging,0
Nifty Commercial & Transport Services,30,-1.35,,,-2.59,,,,-2.03,1.5,,Lagging,0
Nifty Telecommunications,31,-1.53,,,-2.77,,,,-2.67,5.0,,Lagging,0
Nifty Insurance,32,-3.05,,,-4.29,,,,-3.39,6.4,,Lagging,0
Nifty Power,33,-3.52,,,-4.76,,,,-3.89,6.1,,Lagging,0
Nifty Commodities,34,1.03,-3.19,5.26,-0.21,-5.06,7.66,1,-0.14,4.9,Y,Lagging,0
Nifty Construction,35,-4.13,,,-5.37,,,,-4.68,7.4,,Lagging,0
Nifty FMCG,36,-1.32,-3.57,-3.73,-2.56,-5.44,-1.33,1,-2.08,5.7,N,Lagging,0
Nifty Oil & Gas,37,1.58,-3.59,-0.57,0.34,-5.46,1.83,1,-0.12,8.4,Y,Lagging,0
Nifty Housing Finance,38,-4.66,,,-5.9,,,,-5.42,5.3,,Lagging,0
Nifty Energy,39,-1.09,-5.42,16.39,-2.33,-7.29,18.79,1,-2.41,6.7,Y,Lagging,0
Nifty PSE,40,-0.89,-7.09,1.97,-2.13,-8.96,4.37,1,-1.63,7.8,Y,Lagging,0
Nifty CPSE,41,-3.63,-12.78,0.16,-4.87,-14.65,2.56,1,-4.37,13.6,Y,Lagging,0
