symbol,sector,mkt_cap_cr,roce_gt15,roe_gt15,sales_gr_gt10,profit_gr_gt10,de_lt0_5,pledge_zero,ocf_positive,stage3_pts,median_trdval_cr,liquid,ret_1m_pct,ret_3m_pct,tier,sector_canon,sector_rank,sector_quadrant,stage2_pts,rvol,rvol_pts,deliv_surge,vol_persist,close_range_pct,stage5_pts,rs_nifty,rs_sector,mom_pctile,stage6_pts,vol_contraction,vol_dryup,tight_base,quiet_accum,stage7_pts,pattern,pivot,vol_confirm,close_above_pivot,follow_through,no_overhead_supply,stage8_pts,score_pts,pts_available,score_100,stages_covered,score_conf
SONACOMS,Nifty Auto,,,,,,,,,,170.2,Y,16.17,33.15,,Nifty Auto,8,Leading,7.0,0.97,0,1.13,1,66.2,0.0,Y,Y,87.7,15.0,,N,N,Y,2.9,,,,,,,0.0,24.9,59,35.6,5/9,HIGH
DEEPINDS,Nifty Oil & Gas,,,,,,,,,,10.5,N,31.53,24.47,,Nifty Oil & Gas,36,Improving,0.0,4.21,6,0.73,5,93.6,11.0,Y,Y,82.0,15.0,,N,N,N,0.0,Double Bottom,543.4,Y,Y,Y,,15.0,41.0,57,63.2,5/9,HIGH
LALPATHLAB,Nifty Healthcare,,,,,,,,,,52.0,Y,15.45,23.98,,Nifty Healthcare,6,Leading,3.0,0.7,0,1.0,3,82.8,5.0,Y,Y,81.4,15.0,,N,N,N,0.0,,,,,,,0.0,23.0,59,33.9,5/9,HIGH
CONCORDBIO,Nifty Healthcare,,,,,,,,,,11.9,N,10.47,19.92,,Nifty Healthcare,6,Leading,3.0,5.79,6,0.85,3,91.1,11.0,Y,Y,76.0,11.2,,Y,N,Y,7.1,,,,,,,0.0,32.4,59,47.5,5/9,HIGH
UJJIVANSFB,Nifty Financial Services,,,,,,,,,,127.0,Y,16.86,16.19,,Nifty Fin Service,20,Weakening,0.0,0.61,0,1.12,2,64.0,0.0,N,Y,70.4,5.0,,N,N,Y,2.9,,,,,,,0.0,7.9,59,10.2,5/9,HIGH
IDFCFIRSTB,Nifty Financial Services,,,,,,,,,,124.7,Y,6.49,23.17,,Nifty Fin Service,20,Weakening,0.0,0.54,0,0.84,2,13.8,0.0,N,Y,80.4,8.8,,N,Y,N,2.9,,,,,,,0.0,11.6,59,15.3,5/9,HIGH
RBLBANK,Nifty Financial Services,,,,,,,,,,196.3,Y,5.63,12.78,,Nifty Fin Service,20,Weakening,0.0,0.82,0,1.09,1,28.4,0.0,N,Y,64.8,5.0,,N,Y,Y,5.7,Trendline/Resistance Breakout,382.35,N,N,,,8.2,18.9,55,25.5,5/9,HIGH
BANKINDIA,Nifty Financial Services,,,,,,,,,,126.7,Y,-4.84,-0.45,,Nifty Fin Service,20,Weakening,0.0,0.56,0,1.04,1,59.7,0.0,N,N,36.1,0.0,,N,Y,Y,5.7,,,,,,,0.0,5.7,59,6.8,5/9,HIGH
MUTHOOTFIN,Nifty Financial Services,,,,,,,,,,246.4,Y,5.76,-9.48,,Nifty Fin Service,20,Weakening,0.0,1.49,2,1.08,2,80.6,4.0,N,N,14.9,0.0,,N,Y,Y,5.7,,,,,,,0.0,9.7,59,13.6,5/9,HIGH
CAMS,Nifty Financial Services,,,,,,,,,,75.6,Y,-0.25,-0.16,,Nifty Fin Service,20,Weakening,0.0,0.89,0,1.22,1,44.1,0.0,N,Y,36.6,5.0,,Y,Y,N,7.1,Double Bottom,836.0,N,N,,,8.2,20.3,55,27.3,5/9,HIGH
MPHASIS,Nifty IT,,,,,,,,,,156.1,Y,4.32,6.0,,Nifty IT,17,Leading,7.0,0.76,0,0.89,4,92.7,5.0,N,N,51.0,0.0,,N,Y,Y,5.7,Double Bottom,2430.5,N,N,,,8.2,25.9,55,40.0,5/9,HIGH
