symbol,sector,notes
IDFCFIRSTB,Nifty Financial Services,"Dummy note: Monitor trend, volume expansion, and support/resistance."
RBLBANK,Nifty Financial Services,"Dummy note: Monitor trend, volume expansion, and support/resistance."
BANKINDIA,Nifty Financial Services,"Dummy note: Monitor trend, volume expansion, and support/resistance."
MUTHOOTFIN,Nifty Financial Services,"Dummy note: Monitor trend, volume expansion, and support/resistance."
CAMS,Nifty Financial Services,"Dummy note: Monitor trend, volume expansion, and support/resistance."
MPHASIS,Nifty IT,"Dummy note: Monitor trend, volume expansion, and support/resistance."
COFORGE,Nifty IT,"Dummy note: Monitor trend, volume expansion, and support/resistance."
PERSISTENT,Nifty IT,"Dummy note: Monitor trend, volume expansion, and support/resistance."
LTTS,Nifty IT,"Dummy note: Monitor trend, volume expansion, and support/resistance."
KPITTECH,Nifty IT,"Dummy note: Monitor trend, volume expansion, and support/resistance."
GAIL,Nifty Energy,"Dummy note: Monitor trend, volume expansion, and support/resistance."
GUJENERGY,Nifty Energy,"Dummy note: Monitor trend, volume expansion, and support/resistance."
IGL,Nifty Energy,"Dummy note: Monitor trend, volume expansion, and support/resistance."
MGL,Nifty Energy,"Dummy note: Monitor trend, volume expansion, and support/resistance."
MARICO,Nifty FMCG,"Dummy note: Monitor trend, volume expansion, and support/resistance."
DMART,Nifty FMCG,"Dummy note: Monitor trend, volume expansion, and support/resistance."
EMAMILTD,Nifty FMCG,"Dummy note: Monitor trend, volume expansion, and support/resistance."
GODREJCP,Nifty FMCG,"Dummy note: Monitor trend, volume expansion, and support/resistance."
COLPAL,Nifty FMCG,"Dummy note: Monitor trend, volume expansion, and support/resistance."
TATACONSUM,Nifty FMCG,"Dummy note: Monitor trend, volume expansion, and support/resistance."
ASHOKLEY,Nifty Auto,"Dummy note: Monitor trend, volume expansion, and support/resistance."
TVSMOTOR,Nifty Auto,"Dummy note: Monitor trend, volume expansion, and support/resistance."
BOSCHLTD,Nifty Auto,"Dummy note: Monitor trend, volume expansion, and support/resistance."
MRF,Nifty Auto,"Dummy note: Monitor trend, volume expansion, and support/resistance."
BALKRISIND,Nifty Auto,"Dummy note: Monitor trend, volume expansion, and support/resistance."
LUPIN,Nifty Pharma,"Dummy note: Monitor trend, volume expansion, and support/resistance."
BIOCON,Nifty Pharma,"Dummy note: Monitor trend, volume expansion, and support/resistance."
ALKEM,Nifty Pharma,"Dummy note: Monitor trend, volume expansion, and support/resistance."
IPCALAB,Nifty Pharma,"Dummy note: Monitor trend, volume expansion, and support/resistance."
TORNTPHARM,Nifty Pharma,"Dummy note: Monitor trend, volume expansion, and support/resistance."
CUMMINSIND,Nifty Capital Goods,"Dummy note: Monitor trend, volume expansion, and support/resistance."
SCHAEFFLER,Nifty Capital Goods,"Dummy note: Monitor trend, volume expansion, and support/resistance."
TIMKEN,Nifty Capital Goods,"Dummy note: Monitor trend, volume expansion, and support/resistance."
AIAENG,Nifty Capital Goods,"Dummy note: Monitor trend, volume expansion, and support/resistance."
ELGIEQUIP,Nifty Capital Goods,"Dummy note: Monitor trend, volume expansion, and support/resistance."
NMDC,Nifty Metal,"Dummy note: Monitor trend, volume expansion, and support/resistance."
JINDALSTEL,Nifty Metal,"Dummy note: Monitor trend, volume expansion, and support/resistance."
WELCORP,Nifty Metal,"Dummy note: Monitor trend, volume expansion, and support/resistance."
RATNAMANI,Nifty Metal,"Dummy note: Monitor trend, volume expansion, and support/resistance."
MOIL,Nifty Metal,"Dummy note: Monitor trend, volume expansion, and support/resistance."
JKCEMENT,Cement,"Dummy note: Monitor trend, volume expansion, and support/resistance."
BIRLACORPN,Cement,"Dummy note: Monitor trend, volume expansion, and support/resistance."
INDIACEM,Cement,"Dummy note: Monitor trend, volume expansion, and support/resistance."
RAMCOCEM,Cement,"Dummy note: Monitor trend, volume expansion, and support/resistance."
HEIDELBERG,Cement,"Dummy note: Monitor trend, volume expansion, and support/resistance."
